time,balance,drawdown_pct
2026-01-28 20:17:23.718863,1000.0,0.0
2026-01-28 20:18:24.571255,1000.0,0.0
2026-01-28 20:19:24.934175,1000.0,0.0
2026-01-28 20:20:25.295714,1000.0,0.0
2026-01-28 20:21:25.667778,1000.0,0.0
2026-01-28 20:22:26.025493,1000.0,0.0
2026-01-28 20:23:26.389878,1000.0,0.0
2026-01-28 20:24:26.761633,1000.0,0.0
2026-01-28 20:25:27.138925,1000.0,0.0
2026-01-28 20:26:27.505559,1000.0,0.0
2026-01-28 20:27:27.971840,1000.0,0.0
2026-01-28 20:28:03.063356,1000.0,0.0
2026-01-28 20:29:03.960962,1000.0,0.0
2026-01-28 20:30:04.483806,1000.0,0.0
2026-01-28 20:31:05.174608,1000.0,0.0
2026-01-28 20:32:05.657637,1000.0,0.0
2026-01-28 20:33:06.027975,1000.0,0.0
2026-01-28 20:34:06.391696,1000.0,0.0
2026-01-28 20:35:06.815210,1000.0,0.0
2026-01-28 20:36:07.256227,1000.0,0.0
2026-01-28 20:37:07.637034,1000.0,0.0
2026-01-28 20:38:08.004324,1000.0,0.0
2026-01-28 20:39:08.367501,1000.0,0.0
2026-01-28 20:40:08.750897,1000.0,0.0
2026-01-28 20:41:10.094593,1000.0,0.0
2026-01-28 20:42:10.457188,1000.0,0.0
2026-01-28 20:43:10.820796,1000.0,0.0
2026-01-28 20:44:11.194754,1000.0,0.0
2026-01-28 20:45:11.557294,1000.0,0.0
2026-01-28 20:46:11.929646,1000.0,0.0
2026-01-28 20:47:12.294826,1000.0,0.0
2026-01-28 20:48:12.660361,1000.0,0.0
2026-01-28 20:49:13.030337,1000.0,0.0
2026-01-28 20:50:13.401461,1000.0,0.0
2026-01-28 20:51:13.763016,1000.0,0.0
2026-01-28 20:52:14.125843,1000.0,0.0
2026-01-28 20:53:14.487488,1000.0,0.0
2026-01-28 20:54:14.846982,1000.0,0.0
2026-01-28 20:55:15.208821,1000.0,0.0
2026-01-28 20:56:15.573483,1000.0,0.0
2026-01-28 20:57:15.936178,1000.0,0.0
2026-01-28 20:58:16.302856,1000.0,0.0
2026-01-28 20:59:16.685020,1000.0,0.0
2026-01-28 21:00:17.212977,1000.0,0.0
2026-01-28 21:01:17.719183,1000.0,0.0
2026-01-28 21:02:18.083378,1000.0,0.0
2026-01-28 21:03:18.449366,1000.0,0.0
2026-01-28 21:04:18.818504,1000.0,0.0
2026-01-28 21:05:19.181264,1000.0,0.0
2026-01-28 21:06:19.541470,1000.0,0.0
2026-01-28 21:07:19.954220,1000.0,0.0
2026-01-28 21:08:20.390672,1000.0,0.0
2026-01-28 21:09:20.755522,1000.0,0.0
2026-01-28 21:10:21.260719,1000.06,0.0
2026-01-28 21:11:21.622273,1000.06,0.0
2026-01-28 21:12:22.044270,1000.06,0.0
2026-01-28 21:13:22.430378,1000.06,0.0
2026-01-28 21:14:22.803136,1000.06,0.0
2026-01-28 21:15:23.163312,1000.06,0.0
2026-01-28 21:16:23.523319,1000.06,0.0
2026-01-28 21:17:23.886219,1000.06,0.0
2026-01-28 21:18:24.258506,1000.06,0.0
2026-01-28 21:19:24.680973,1000.06,0.0
2026-01-28 21:20:25.103149,1000.06,0.0
2026-01-28 21:21:25.481217,1000.06,0.0
2026-01-28 21:22:25.845780,1000.06,0.0
2026-01-28 21:23:26.207284,1000.06,0.0
2026-01-28 21:24:26.596647,1000.06,0.0
2026-01-28 21:25:26.956880,1000.06,0.0
2026-01-28 21:26:27.325944,1000.06,0.0
2026-01-28 21:27:27.722188,1000.06,0.0
2026-01-28 21:28:28.087502,1000.06,0.0
2026-01-28 21:29:28.450581,1000.06,0.0
2026-01-28 21:30:28.819644,1000.06,0.0
2026-01-28 21:31:29.179044,1000.06,0.0
2026-01-28 21:32:29.545985,1000.06,0.0
2026-01-28 21:33:29.912473,1000.06,0.0
2026-01-28 21:34:30.277233,1000.06,0.0
2026-01-28 21:35:30.660174,1000.06,0.0
2026-01-28 21:36:31.028216,1000.06,0.0
2026-01-28 21:37:31.400445,1000.06,0.0
2026-01-28 21:38:31.784506,1000.06,0.0
2026-01-28 21:39:32.158515,1000.06,0.0
2026-01-28 21:40:32.531184,1000.06,0.0
2026-01-28 21:41:32.903961,1000.06,0.0
2026-01-28 21:42:33.271191,1000.06,0.0
2026-01-28 21:43:33.667344,1000.06,0.0
2026-01-28 21:44:34.039646,1000.06,0.0
2026-01-28 21:45:34.662651,1000.06,0.0
2026-01-28 21:46:35.031891,1000.06,0.0
2026-01-28 21:47:35.404136,1000.06,0.0
2026-01-28 21:48:35.773708,1000.06,0.0
2026-01-28 21:49:36.145422,1000.06,0.0
2026-01-28 21:50:36.522166,1000.06,0.0
2026-01-28 21:51:36.897898,1000.06,0.0
2026-01-28 21:52:37.279211,1000.06,0.0
2026-01-28 21:53:37.653517,1000.06,0.0
2026-01-28 21:54:38.032040,1000.06,0.0
2026-01-28 21:55:38.403714,1000.06,0.0
2026-01-28 21:56:38.797172,1000.06,0.0
2026-01-28 21:57:39.175612,1000.06,0.0
2026-01-28 21:58:39.546388,1000.06,0.0
2026-01-28 21:59:39.941954,1000.06,0.0
2026-01-28 22:01:28.428550,1000.06,0.0
2026-01-28 22:02:29.235612,1000.06,0.0
2026-01-28 22:03:29.627500,1000.06,0.0
2026-01-28 22:04:30.043903,1000.06,0.0
2026-01-28 22:05:30.420326,1000.06,0.0
2026-01-28 22:06:30.802191,1000.06,0.0
2026-01-28 22:07:31.182253,1000.06,0.0
