ema9,ema21,rsi,ret,vol,target
88053.77702365367,88127.35589929589,39.36524366023489,-0.0004334692316927402,0.0006797512586717771,0
88067.06761892294,88126.70809026898,47.87295156833554,0.0014143861687896386,0.0007621974147201784,0
88059.04609513836,88117.6400820627,43.00338366075152,-0.0010584402696178774,0.0008351397407681329,0
88040.2688761107,88103.77825642064,40.093314162413485,-0.0007020576423405478,0.0008247582767847236,0
88017.51310088855,88087.66114220058,38.3447675201252,-0.0004396058621389809,0.0007627968912691462,0
87992.41248071085,88069.87467472779,36.803519999876315,-0.0003921457572115816,0.0007263490355992613,0
87963.93198456868,88049.88697702526,34.960175116502654,-0.0004778591364561491,0.0007149221750302555,0
87955.30558765495,88038.1517972957,40.38035764170857,0.000805805258303316,0.0007385701238519234,0
87950.95247012396,88028.64163390516,41.32800681835944,0.00014490314009862892,0.0007399162024045626,0
87940.76397609917,88016.94784900469,39.54639167559821,-0.00038131070351543617,0.0007424946693292573,0
87942.79118087934,88010.94349909517,43.52566817364856,0.0005789532902213956,0.0007684190949306603,0
87945.43494470348,88005.94954463198,43.924808663311346,5.810059931166123e-05,0.000576918962838269,0
87940.82595576279,87998.3532223927,41.830093336234754,-0.00038223652937408037,0.0004975099770531337,0
87942.69076461023,87993.97111126609,44.196466688847565,0.0003157330004335268,0.00046816117723336663,0
87937.2686116882,87986.84464660553,41.90998860445991,-0.0003930635706703711,0.0004637027696294802,0
87919.01688935056,87974.04149691413,37.68473951246632,-0.0007913273165007784,0.0005144402441180706,0
87935.37351148046,87976.47408810374,49.80924609823041,0.001762060678680788,0.0007446554901978713,0
87937.59080918437,87973.74553463978,46.396409838746685,-0.0006174943864146742,0.0007460222055893405,0
87946.07264734751,87974.3141223998,48.73139997287531,0.0003813683916327193,0.000753796046992453,0
87960.83211787802,87978.45556581799,51.43936699950366,0.0004531711752671086,0.0007465193865367903,0
87973.32769430241,87982.53324165272,51.6765299890753,3.9082084533959005e-05,0.0007303141366498181,0
87968.03815544193,87979.29203786611,46.269625903877014,-0.000868292728369302,0.0007900698062569459,0
87940.67452435356,87965.83094351465,39.52933233088792,-0.0013151120312625553,0.0008879087774082428,0
87910.08561948285,87949.63994864968,37.32741196961182,-0.0004951542287583433,0.0008823896460583869,0
87896.07049558629,87939.67358968154,41.54292163111147,0.00059552741596125,0.0009113280364142391,0
87886.35239646904,87931.29235425594,42.141756951316154,8.504097392525445e-05,0.0008774308602371031,0
87867.60191717524,87918.6839584145,38.98227642531133,-0.0006247191154485909,0.0006372118008983545,0
87844.6875337402,87903.62450764955,36.837743607543096,-0.00045072135920343204,0.0006282564443491269,0
87832.67402699216,87892.80591604505,39.690216514967055,0.0003599875696600474,0.0006260149251229592,1
87835.43922159373,87888.59628731367,44.93607333272176,0.0007049070782558786,0.0006603093233922442,0
87853.31337727499,87891.88844301243,50.77179134642273,0.0008914413209404337,0.0007438862469180621,0
87892.88470181999,87906.36858455675,58.42787129532611,0.0014371370265116035,0.000835018797462658,0
87918.70576145599,87916.87962232431,56.25220476906042,-0.00033139820856431523,0.0006932249205353785,0
87939.12260916478,87926.32602029483,56.15959072636274,-1.3632956946452168e-05,0.0006538511110796202,0
87956.05408733184,87935.1854729953,56.3524196123085,3.396924749266006e-05,0.0006464161440235357,0
87952.98126986549,87935.68588454119,49.797501112462434,-0.0009439494645651081,0.0007430524847139152,0
87966.3790158924,87943.34807685563,55.157273031152236,0.0009015166926709117,0.0007328921074113991,0
87948.60921271393,87937.3646153233,45.71398813972656,-0.0016182691268811222,0.0009260502894824598,0
87959.24137017115,87943.2196502939,53.234688680877305,0.0014137857538782939,0.0010097652853749163,0
87968.99309613692,87949.10877299446,53.581959625444064,7.079403061993617e-05,0.000997691310402042,0
87978.31647690955,87955.15433908587,54.03100571043393,8.646941187162582e-05,0.0009662618146571153,0
88006.89518152764,87970.25030825989,59.8372055538366,0.0011997871741160626,0.0009321807720585228,0
88034.09214522211,87985.94391659989,60.92782745339079,0.0002459112851491696,0.0009216956266848021,0
88045.88971617768,87995.68356054535,57.090993480598975,-0.0005649917497591028,0.000947869640064845,0
88063.38977294214,88008.2023277685,59.323871818212574,0.00045758418254870925,0.0009548995101027572,0
88067.89181835373,88015.26575251682,55.649747444966586,-0.0005388423161756251,0.0009121543782688744,0
88076.43145468298,88023.9315931971,57.136092784170394,0.0002802945760900233,0.0008769226580871953,0
88094.7411637464,88037.02690290645,60.45373056082615,0.0006513405482813095,0.0006448593240915198,0
88099.41093099712,88044.39627536951,56.36920968713967,-0.0005658516844777584,0.000575374143468436,0
88091.56074479771,88045.829341245,51.97773790407831,-0.0006574132507864983,0.0006277172587403287,0
88089.64059583818,88049.11394658637,53.44750578993151,0.000247558033053874,0.0006305488848647751,0
88086.18847667056,88051.22904235125,52.68440497306575,-0.00010876233907608501,0.0004918362932802242,0
88066.60878133644,88045.5073112284,46.41944950907103,-0.000954782872905291,0.0005528973717411062,0
88063.86302506916,88046.17755566217,51.21791003898187,0.0007340749547468661,0.0006016487048605011,0
88045.96842005533,88039.65141423834,45.84487938893452,-0.0008913961701196849,0.0006270172979136275,0
88049.41273604428,88041.79128567122,51.982253030520724,0.0010093846629684045,0.000713807804720033,0
88037.44018883543,88037.04207788293,47.20461749117757,-0.000836217720480037,0.0007471920443357702,0
88033.68015106836,88035.36916171176,49.19122145213686,0.0003306074414517468,0.0007158072343045025,0
88026.94412085469,88032.15378337432,47.94625704376886,-0.00021177332437760654,0.000702647321733682,0
